rule_name,category,pattern,match_type,confidence,counterparty,source
RUSHCUTTERS COURT PTY LTD,Rent,RUSHCUTTERS COURT PTY LTD,keyword,0.95,RUSHCUTTERS COURT PTY LTD,institution
SIMBA PROPERTIES PTY LTD,Rent,SIMBA PROPERTIES PTY LTD,keyword,0.95,SIMBA PROPERTIES PTY LTD,institution
EPPING REAL ESTATE PTY LTD,Rent,EPPING REAL ESTATE PTY LTD|ACCELERATED MARKETING SYSTEM|FIRST CHOICE MOVING AND STORAGE|FIRST CHOICE REAL ESTATE EPPING|NNW PROPERTY|NOR NOR WEST PROPERTY|NORTH NOR EAST PROPERTY|SOUTH SOU EAST PROPERTY|SOUTH SOU WEST PROPERTY,keyword,0.95,EPPING REAL ESTATE PTY LTD,institution
DAWN DEVELOPMENTS PTY LTD,Rent,DAWN DEVELOPMENTS PTY LTD|DAWN TRADINGDAWN PROPERTY MANAGEMENT|DAWN PROPERTY MANAGEMENT|DAWN TRADING,keyword,0.95,DAWN DEVELOPMENTS PTY LTD,institution
STEGGLES PROPERTIES PTY LIMITED,Rent,STEGGLES PROPERTIES PTY LIMITED,keyword,0.95,STEGGLES PROPERTIES PTY LIMITED,institution
111 FAIRFORD ROAD PROPERTIES PTY LTD,Rent,111 FAIRFORD ROAD PROPERTIES PTY LTD,keyword,0.95,111 FAIRFORD ROAD PROPERTIES PTY LTD,institution
EASTLAND REAL ESTATE PTY LTD,Rent,EASTLAND REAL ESTATE PTY LTD,keyword,0.95,EASTLAND REAL ESTATE PTY LTD,institution
DENNALINE MANAGEMENT PTY LTD,Rent,DENNALINE MANAGEMENT PTY LTD,keyword,0.95,DENNALINE MANAGEMENT PTY LTD,institution
BOBDAWN PROPERTIES PTY LTD,Rent,BOBDAWN PROPERTIES PTY LTD,keyword,0.95,BOBDAWN PROPERTIES PTY LTD,institution
LANDMARK WORLDWIDE PTY LIMITED,Rent,LANDMARK WORLDWIDE PTY LIMITED,keyword,0.95,LANDMARK WORLDWIDE PTY LIMITED,institution
MALTER PROPERTIES PTY LTD,Rent,MALTER PROPERTIES PTY LTD,keyword,0.95,MALTER PROPERTIES PTY LTD,institution
BILL URQUHART REAL ESTATE PTY LTD,Rent,BILL URQUHART REAL ESTATE PTY LTD|BILL URQUHART REAL ESTATE PTY LIMITED,keyword,0.95,BILL URQUHART REAL ESTATE PTY LTD,institution
SOUTHERN ESTATES W'GONG PTY LTD,Rent,SOUTHERN ESTATES W GONG PTY LTD|SOUTHERN ESTATES WOLLONGONG,keyword,0.95,SOUTHERN ESTATES W'GONG PTY LTD,institution
