rule_name,category,pattern,match_type,confidence,counterparty,source
Rockhampton Jockey Club,Gambling,ROCKHAMPTON JOCKEY|ROCKHAMPTON JOCKEY CLUB,keyword,0.95,Rockhampton Jockey Club,institution
Flagstaff News and Lotto,Gambling,FLAGSTAFF NEWS AND LOTTO,keyword,0.95,Flagstaff News and Lotto,institution
Full Hand Lottery Centre,Gambling,FULL HAND LOTTERY CENTRE|FULL HAND LOTTERY CENTRE KARRINYU,keyword,0.95,Full Hand Lottery Centre,institution
Mindil Beach Casino and The Garden,Gambling,MINDIL BEACH CASINO AND RTHE GARDEN|MINDIL BEACH CASINO AND THE GARDEN,keyword,0.95,Mindil Beach Casino and The Garden,institution
Brisbane Greyhound Racing Club,Gambling,BRISBANE GREYHOUND RACINGALBION|BRISBANE GREYHOUND RACING CLUB,keyword,0.95,Brisbane Greyhound Racing Club,institution
Greyhounds Entertainment,Gambling,GREYHOUNDS ENTERTAIN|GREYHOUNDS ENTERTAINMENT,keyword,0.95,Greyhounds Entertainment,institution
Cranbourne Park Lotto,Gambling,CRANBOURNE PARK LOTTO|CRANBOURNE PARK LOTTO CRANBOURNE VI,keyword,0.95,Cranbourne Park Lotto,institution
Mornington News & Lotto,Gambling,MORNINGTON NEWS LOTTO,keyword,0.95,Mornington News & Lotto,institution
Club Central Hurstville,Gambling,CLUB CENTRAL HURSTVILLE,keyword,0.95,Club Central Hurstville,institution
Warrnambool Greyhound Racing Club,Gambling,WARRNAMBOOL GREYHOUND RACING CLUB,keyword,0.95,Warrnambool Greyhound Racing Club,institution
Delacombe Tattslotto,Gambling,DELACOMBE TATTSLOTTO|DELACOMBE TATTSLOT,keyword,0.95,Delacombe Tattslotto,institution
Cashbox Amusements,Gambling,CASHBOX AMUSEMENTS|CASHBOX AMUSEMENTS PTY,keyword,0.95,Cashbox Amusements,institution
Oz Lotteries AutoPlay,Gambling,OZ LOTTERYWES AUTOPLAY|OZ LOTTERIES AUTOPLAY,keyword,0.95,Oz Lotteries AutoPlay,institution
GJS Lottery Centre & News,Gambling,GJS LOTTERY CENTRE NEWS|GJS LOTTERY CENTRENEWS,keyword,0.95,GJS Lottery Centre & News,institution
Carousel Lottery News,Gambling,CAROUSEL LOTTERY NEWS,keyword,0.95,Carousel Lottery News,institution
Tattersalls Hotel Tocumwal,Gambling,TATTERSALLS HOTEL|TATTERSALLS HOTEL TOCUMWAL|SQ TATTERSALLS HOTEL TO CUMWAL|TATTERSALLS HOTEL TO CUMWAL|SQ TATTERSALLS HOTEL TOCUMWAL|SQ TATTERSALLS HOTEL TOCUMWAL NS|TATTERSALLS HOTEL TOCUMWAL NS,keyword,0.95,Tattersalls Hotel Tocumwal,institution
Rutherglen News & Lotto,Gambling,RUTHERGLEN NEWS LOTTO,keyword,0.95,Rutherglen News & Lotto,institution
Springvale Lotto,Gambling,SPRINGVALE LOTTO|SMP SPRINGVALE LOTTO,keyword,0.95,Springvale Lotto,institution
Wangaratta Turf Club,Gambling,WANGARATTA TURF CLUB|SQ WANGARATTA TURF CL|WANGARATTA TURF CL|WANGARATTA TURF CLU|WANGARATTA TURF CLU WANGARATTA AU CASH OUT PURCHASE|WANGARATTA TURF CLUB I,keyword,0.95,Wangaratta Turf Club,institution
Lotto Luck Watergardens,Gambling,LOTTO LUCK WATERGARDENS,keyword,0.95,Lotto Luck Watergardens,institution
Lasseters Hotel Casino,Gambling,LASSETERS HOTEL CASINO,keyword,0.95,Lasseters Hotel Casino,institution
Foxcatcher Betting,Gambling,FOXCATCHER BETTING PTY|FOXCATCHER BETTING,keyword,0.95,Foxcatcher Betting,institution
Maribyrnong News & Lotto,Gambling,MARIBYRNONG NEWS LOTTO,keyword,0.95,Maribyrnong News & Lotto,institution
Bendigo Jockey Club Inc,Gambling,BENDIGO JOCKEY CLUB INC,keyword,0.95,Bendigo Jockey Club Inc,institution
Gladstone Turf Club,Gambling,GLADSTONE TURF CLUB,keyword,0.95,Gladstone Turf Club,institution
Seven Hills RSL Club,Gambling,SEVEN HILLS RSL CLUB LTD|SEVEN HILLS RSL CLUB,keyword,0.95,Seven Hills RSL Club,institution
Bellarine Village Lotto,Gambling,BELLARINE VILLAGELOTTO|BELLARINE VILLAGE LOTTO,keyword,0.95,Bellarine Village Lotto,institution
Oz Lotteries,Gambling,OZ LOTTERIES AUTOPLAY|OZ LOTTERIES,keyword,0.95,Oz Lotteries,institution
POINTSBET AUSTRALIA CREMORNE V,Gambling,POINTSBET AUSTRALIA|POINTSBET AUSTRALIA CREMORNE|POINTSBET AUSTRALIA CREMORNE V,keyword,0.95,POINTSBET AUSTRALIA CREMORNE V,institution
Cowboys Leagues Club Townsville,Gambling,COWBOYS LEAGUES CLUB TOWNSVILLE,keyword,0.95,Cowboys Leagues Club Townsville,institution
